Order_ID,Product_Type,Length_m,Color,Manufacturing_Cost_AED,Sale_Price_AED,Production_Date,Delivery_Date,Client_Region,Quality_Rating
1,Fiber Optic,75.62,Green,94.68,414.32,2021-01-01,2021-01-15,Abu Dhabi,3
2,Coaxial,186.34,White,177.94,141.83,2021-01-02,2021-01-16,Ajman,3
3,Fiber Optic,143.84,Blue,287.94,408.38,2021-01-03,2021-01-17,Dubai,4
4,Coaxial,16.05,Blue,51.78,169.88,2021-01-04,2021-01-18,Ajman,1
5,Coaxial,41.29,Black,96.22,184.22,2021-01-05,2021-01-19,Abu Dhabi,2
6,Twisted Pair,128.08,Red,42.98,490.18,2021-01-06,2021-01-20,Ras Al Khaimah,3
7,Fiber Optic,119.67,Black,234.28,70.71,2021-01-07,2021-01-21,Umm Al Quwain,5
8,Twisted Pair,55.2,Blue,26.07,135.39,2021-01-08,2021-01-22,Fujairah,4
9,Fiber Optic,187.5,Black,58.43,284.39,2021-01-09,2021-01-23,Fujairah,4
10,Fiber Optic,126.65,Blue,92.98,219.2,2021-01-10,2021-01-24,Umm Al Quwain,5
11,Fiber Optic,111.77,Blue,263.9,158.94,2021-01-11,2021-01-25,Ajman,3
12,Twisted Pair,122.08,Green,70.23,358.05,2021-01-12,2021-01-26,Ras Al Khaimah,3
13,Coaxial,148.72,Black,141.32,351.16,2021-01-13,2021-01-27,Fujairah,3
14,Twisted Pair,69.27,Green,111.03,483.68,2021-01-14,2021-01-28,Ras Al Khaimah,5
15,Twisted Pair,85.66,Black,183.35,445.37,2021-01-15,2021-01-29,Umm Al Quwain,3
16,Fiber Optic,49.87,Blue,282.21,498.85,2021-01-16,2021-01-30,Fujairah,5
17,Coaxial,45.38,Blue,283.42,213.3,2021-01-17,2021-01-31,Abu Dhabi,4
18,Coaxial,189.43,White,34.7,70.36,2021-01-18,2021-02-01,Dubai,5
19,Coaxial,150.51,Green,186.94,196.38,2021-01-19,2021-02-02,Dubai,2
20,Coaxial,103.19,Red,269.7,273.61,2021-01-20,2021-02-03,Abu Dhabi,1
21,Fiber Optic,53.21,Black,238.66,127.49,2021-01-21,2021-02-04,Ras Al Khaimah,1
22,Coaxial,58.33,Red,79.23,88.28,2021-01-22,2021-02-05,Dubai,2
23,Fiber Optic,21.03,White,234.2,253.73,2021-01-23,2021-02-06,Umm Al Quwain,5
24,Fiber Optic,92.54,Blue,72.94,469.7,2021-01-24,2021-02-07,Ajman,1
25,Coaxial,69.24,Green,271.65,393.42,2021-01-25,2021-02-08,Dubai,2
26,Twisted Pair,142.31,Red,22.5,190.17,2021-01-26,2021-02-09,Umm Al Quwain,3
27,Fiber Optic,81.77,Green,45.27,449.88,2021-01-27,2021-02-10,Fujairah,2
28,Twisted Pair,44.12,Blue,193.37,363.77,2021-01-28,2021-02-11,Abu Dhabi,1
29,Fiber Optic,14.69,Green,127.08,258.5,2021-01-29,2021-02-12,Sharjah,5
30,Coaxial,22.78,Green,47.04,169.08,2021-01-30,2021-02-13,Umm Al Quwain,5
31,Coaxial,139.08,Black,295.78,308.99,2021-01-31,2021-02-14,Fujairah,5
32,Twisted Pair,96.2,Red,271.04,137.71,2021-02-01,2021-02-15,Fujairah,1
33,Fiber Optic,111.95,White,95.91,383.55,2021-02-02,2021-02-16,Ajman,3
34,Coaxial,180.37,Green,152.49,471.62,2021-02-03,2021-02-17,Sharjah,5
35,Coaxial,198.16,Green,154.33,346.67,2021-02-04,2021-02-18,Ajman,4
36,Coaxial,51.21,White,162.35,376.25,2021-02-05,2021-02-19,Abu Dhabi,3
37,Fiber Optic,135.98,Red,290.83,124.02,2021-02-06,2021-02-20,Umm Al Quwain,2
38,Twisted Pair,60.03,Blue,47.99,386.7,2021-02-07,2021-02-21,Sharjah,4
39,Fiber Optic,13.92,Black,31.1,273.81,2021-02-08,2021-02-22,Ras Al Khaimah,3
40,Twisted Pair,154.09,White,155.44,89.32,2021-02-09,2021-02-23,Abu Dhabi,1
41,Twisted Pair,70.8,Green,148.31,223.9,2021-02-10,2021-02-24,Dubai,4
42,Fiber Optic,82.86,Blue,85.87,378.25,2021-02-11,2021-02-25,Fujairah,3
43,Twisted Pair,121.78,Black,36.48,310.19,2021-02-12,2021-02-26,Dubai,3
44,Fiber Optic,167.9,White,54.68,187.87,2021-02-13,2021-02-27,Abu Dhabi,3
45,Fiber Optic,129.51,Green,259.89,494.94,2021-02-14,2021-02-28,Ajman,3
46,Fiber Optic,175.8,Red,131.91,308.31,2021-02-15,2021-03-01,Umm Al Quwain,5
47,Coaxial,61.97,White,126.79,475.23,2021-02-16,2021-03-02,Ras Al Khaimah,4
48,Coaxial,161.63,Green,26.15,301.9,2021-02-17,2021-03-03,Fujairah,3
49,Twisted Pair,45.27,Blue,124.93,304.1,2021-02-18,2021-03-04,Umm Al Quwain,2
50,Fiber Optic,191.03,White,205.25,73.03,2021-02-19,2021-03-05,Fujairah,3
51,Fiber Optic,140.62,Black,195.1,96.84,2021-02-20,2021-03-06,Sharjah,5
52,Coaxial,50.95,Red,275.92,326.5,2021-02-21,2021-03-07,Ras Al Khaimah,4
53,Fiber Optic,190.0,White,208.1,379.24,2021-02-22,2021-03-08,Dubai,4
54,Coaxial,148.86,White,110.74,159.81,2021-02-23,2021-03-09,Ras Al Khaimah,3
55,Twisted Pair,58.25,Red,108.54,483.79,2021-02-24,2021-03-10,Abu Dhabi,3
56,Twisted Pair,50.53,Blue,253.33,383.56,2021-02-25,2021-03-11,Abu Dhabi,2
57,Fiber Optic,108.46,Black,237.22,157.11,2021-02-26,2021-03-12,Umm Al Quwain,4
58,Coaxial,14.88,Green,98.72,339.99,2021-02-27,2021-03-13,Abu Dhabi,4
59,Coaxial,49.42,Blue,219.9,202.89,2021-02-28,2021-03-14,Abu Dhabi,4
60,Coaxial,90.69,Green,177.24,377.37,2021-03-01,2021-03-15,Ajman,1
61,Coaxial,81.09,Black,131.9,313.07,2021-03-02,2021-03-16,Umm Al Quwain,4
62,Twisted Pair,98.08,Blue,168.64,390.49,2021-03-03,2021-03-17,Ras Al Khaimah,4
63,Twisted Pair,62.75,White,43.87,163.16,2021-03-04,2021-03-18,Abu Dhabi,2
64,Twisted Pair,121.49,Blue,206.39,469.53,2021-03-05,2021-03-19,Ajman,2
65,Fiber Optic,174.13,Green,28.3,496.85,2021-03-06,2021-03-20,Ras Al Khaimah,5
66,Twisted Pair,32.33,White,269.0,124.04,2021-03-07,2021-03-21,Ajman,2
67,Coaxial,108.3,Red,210.99,280.81,2021-03-08,2021-03-22,Sharjah,4
68,Fiber Optic,35.09,Blue,269.57,438.56,2021-03-09,2021-03-23,Sharjah,4
69,Coaxial,146.2,Blue,20.34,206.46,2021-03-10,2021-03-24,Dubai,4
70,Twisted Pair,85.25,White,282.42,159.19,2021-03-11,2021-03-25,Abu Dhabi,2
71,Fiber Optic,117.43,Blue,288.33,378.98,2021-03-12,2021-03-26,Ajman,3
72,Fiber Optic,44.82,White,242.97,489.88,2021-03-13,2021-03-27,Sharjah,1
73,Twisted Pair,37.52,Red,297.78,276.69,2021-03-14,2021-03-28,Abu Dhabi,5
74,Fiber Optic,102.73,Blue,119.46,226.59,2021-03-15,2021-03-29,Umm Al Quwain,3
75,Fiber Optic,77.57,Green,257.54,226.37,2021-03-16,2021-03-30,Sharjah,1
76,Fiber Optic,188.68,Blue,235.79,407.53,2021-03-17,2021-03-31,Sharjah,2
77,Fiber Optic,155.41,White,221.75,367.73,2021-03-18,2021-04-01,Dubai,5
78,Fiber Optic,152.25,White,197.36,193.51,2021-03-19,2021-04-02,Ajman,5
79,Fiber Optic,181.71,Green,106.07,488.56,2021-03-20,2021-04-03,Ajman,2
80,Twisted Pair,25.85,Green,170.44,451.21,2021-03-21,2021-04-04,Ras Al Khaimah,3
81,Fiber Optic,114.92,White,96.88,365.42,2021-03-22,2021-04-05,Umm Al Quwain,1
82,Twisted Pair,121.05,White,22.43,248.35,2021-03-23,2021-04-06,Ras Al Khaimah,4
83,Coaxial,192.77,Blue,26.98,143.28,2021-03-24,2021-04-07,Sharjah,4
84,Coaxial,65.51,White,60.4,349.23,2021-03-25,2021-04-08,Abu Dhabi,1
85,Coaxial,55.76,Green,163.85,389.25,2021-03-26,2021-04-09,Ras Al Khaimah,4
86,Fiber Optic,29.06,Blue,82.34,321.83,2021-03-27,2021-04-10,Umm Al Quwain,3
87,Coaxial,13.12,White,123.46,273.03,2021-03-28,2021-04-11,Ajman,2
88,Coaxial,186.61,Red,35.43,103.12,2021-03-29,2021-04-12,Ras Al Khaimah,4
89,Coaxial,137.28,Green,275.14,403.13,2021-03-30,2021-04-13,Dubai,2
90,Fiber Optic,159.18,Red,267.79,271.22,2021-03-31,2021-04-14,Ajman,4
91,Coaxial,63.53,Blue,271.24,434.35,2021-04-01,2021-04-15,Dubai,4
92,Twisted Pair,121.42,Green,113.01,110.67,2021-04-02,2021-04-16,Abu Dhabi,5
93,Fiber Optic,22.15,Blue,219.62,484.29,2021-04-03,2021-04-17,Ras Al Khaimah,4
94,Coaxial,102.27,Black,139.54,271.04,2021-04-04,2021-04-18,Umm Al Quwain,5
95,Twisted Pair,195.72,Green,104.47,82.56,2021-04-05,2021-04-19,Sharjah,1
96,Fiber Optic,176.54,Blue,39.72,176.05,2021-04-06,2021-04-20,Abu Dhabi,4
97,Twisted Pair,74.25,Red,138.12,456.16,2021-04-07,2021-04-21,Ras Al Khaimah,4
98,Fiber Optic,192.7,Blue,128.73,200.31,2021-04-08,2021-04-22,Ras Al Khaimah,4
99,Coaxial,54.02,White,64.91,486.54,2021-04-09,2021-04-23,Abu Dhabi,5
100,Twisted Pair,190.37,White,118.06,249.85,2021-04-10,2021-04-24,Dubai,4
